매출,기준_년_코드,상권_구분_코드_명,상권_코드,상권_코드_명,점포수,시간대1,시간대2,시간대3,시간대4,시간대5,분기_1,분기_2,분기_3,총 상주인구 수,총 가구 수,총_직장인구_수,아파트_단지_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,총_생활인구_수,시간대_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,집객시설_수,관공서_수,은행_수,백화점_수,숙박_시설_수,area,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,배후지_아파트_단지_수,배후지_아파트_가격_1_억_미만_세대_수,배후지_아파트_가격_1_억_세대_수,배후지_아파트_가격_2_억_세대_수,배후지_아파트_가격_3_억_세대_수,배후지_아파트_가격_4_억_세대_수,배후지_아파트_가격_5_억_세대_수,배후지_아파트_가격_6_억_이상_세대_수,시간대_버스_승하차승객수,시간대_지하철_승하차승객수,버스정류장_수,지하철역_수
145014.0061,2020,발달상권,2120185,논현역,52,1,0,0,0,0,1,0,0,3692,2342,12764,52,6,305,363,153,42,33,58,3095291,555663,468291,485397,473087,482062,476608,376010,333836,164,1,11,0,17,321182,190548,692947,804007,571729,360870,475188,174.37249999999997,22.3,594.38,614.1699999999998,292.83,149.0925,99.8325,1085.5625,7648,30177,3,1
121841.5766,2020,발달상권,2120186,가로수길,30,1,0,0,0,0,1,0,0,3386,1870,6518,60,0,228,140,83,43,50,63,2200107,336475,319598,330172,327690,333065,336917,294448,258219,93,3,4,0,12,256687,226233,542769,496701,360498,227888,346018,174.37249999999997,22.3,594.38,614.1699999999998,292.83,149.0925,99.8325,1085.5625,15469,0,2,0
208337.069,2020,발달상권,2120187,신논현역,80,1,0,0,0,0,1,0,0,4994,3515,13076,59,6,382,176,64,11,73,41,3494446,563761,507889,530669,523589,534676,539117,466335,392172,216,3,6,0,37,382392,262820,1042181,883523,567520,343592,394812,174.37249999999997,22.3,594.38,614.1699999999998,292.83,149.0925,99.8325,1085.5625,2588,49000,3,1
29757.45055,2020,발달상권,2120188,압구정역,42,1,0,0,0,0,1,0,0,1137,583,8579,20,3,56,37,13,14,48,50,1750543,179611,264138,280131,267553,274690,274575,216307,173149,359,1,16,1,7,251745,233462,314391,366794,324388,216306,295201,174.37249999999997,22.3,594.38,614.1699999999998,292.83,149.0925,99.8325,1085.5625,45712,27505,6,1
150194.8635,2020,발달상권,2120190,강남을지병원,33,1,0,0,0,0,1,0,0,2273,1327,11703,48,5,226,191,43,47,33,2,1667538,253569,253215,270923,260746,267364,260767,191873,162648,115,0,4,0,10,295195,104002,368221,452438,336448,181153,225276,174.37249999999997,22.3,594.38,614.1699999999998,292.83,149.0925,99.8325,1085.5625,21760,0,6,0
113693.0584,2020,발달상권,2120191,학동역,54,1,0,0,0,0,1,0,0,4551,3003,13862,80,24,327,510,52,38,13,150,1777614,325121,270123,281828,276794,280160,270850,207745,190112,77,4,7,0,4,366286,120736,407301,488328,316001,185077,260172,174.37249999999997,22.3,594.38,614.1699999999998,292.83,149.0925,99.8325,1085.5625,17446,23038,6,1
125471.6653,2020,발달상권,2120192,뱅뱅사거리,65,1,0,0,0,0,1,0,0,6563,4491,27462,46,13,413,511,102,46,147,175,2031367,333382,319631,334114,326682,333731,314849,210105,192257,112,1,18,0,19,317599,136092,421294,556790,421310,246615,249267,174.37249999999997,22.3,594.38,614.1699999999998,292.83,149.0925,99.8325,1085.5625,8518,0,3,0
57528.77373,2020,발달상권,2120193,도산공원교차로,22,1,0,0,0,0,1,0,0,1196,602,6384,32,0,75,50,39,26,49,68,679638,84462,104239,113429,109074,112083,107999,72764,60051,48,1,5,0,1,185023,46893,136377,186190,140362,76504,93312,174.37249999999997,22.3,594.38,614.1699999999998,292.83,149.0925,99.8325,1085.5625,9209,0,3,0
100576.0446,2020,발달상권,2120194,언주역(차병원),49,1,0,0,0,0,1,0,0,2556,1687,12628,60,8,410,314,72,26,36,66,1774341,301746,270553,284587,278149,281249,274062,202174,183569,95,1,3,0,15,242446,92746,399931,499529,347939,195105,239092,174.37249999999997,22.3,594.38,614.1699999999998,292.83,149.0925,99.8325,1085.5625,11152,12947,8,1
54335.50427,2020,발달상권,2120195,성수대교남단,9,1,0,0,0,0,1,0,0,455,237,5611,8,6,26,12,18,24,23,1,1040655,136912,149692,161390,157070,161687,162801,137017,110997,92,0,10,0,4,126829,104344,221738,243886,184167,115862,170657,174.37249999999997,22.3,594.38,614.1699999999998,292.83,149.0925,99.8325,1085.5625,26408,0,3,0
79702.32821,2020,발달상권,2120196,서울세관,15,1,0,0,0,0,1,0,0,1385,903,9687,26,0,23,28,11,29,6,32,760098,125109,115919,124428,121023,122702,118727,82619,74683,51,4,7,0,3,185479,56841,154330,205766,150565,85218,107378,174.37249999999997,22.3,594.38,614.1699999999998,292.83,149.0925,99.8325,1085.5625,9464,0,7,0
143504.5329,2020,발달상권,2120197,역삼역,145,1,0,0,0,0,1,0,0,5436,3697,58694,100,12,790,427,188,113,21,37,3778178,493599,614020,656692,630741,644035,606300,338099,288291,254,8,25,0,46,562806,142490,920002,1127977,731106,431768,424835,174.37249999999997,22.3,594.38,614.1699999999998,292.83,149.0925,99.8325,1085.5625,71965,56885,7,1
115616.5691,2020,발달상권,2120198,구역삼세무서,42,1,0,0,0,0,1,0,0,7479,5101,11531,137,51,840,608,173,167,48,49,2263267,462573,348026,358407,348909,353428,339412,258232,256854,78,1,3,0,34,291469,154882,547337,616973,401411,245937,296726,174.37249999999997,22.3,594.38,614.1699999999998,292.83,149.0925,99.8325,1085.5625,8280,0,7,0
168007.0659,2020,발달상권,2120199,경복아파트교차로,15,1,0,0,0,0,1,0,0,737,485,3830,17,4,139,35,8,1,2,46,529854,100275,79280,83176,82015,82504,80287,63109,59480,19,0,2,0,6,112742,33738,107963,154602,102308,59469,71772,174.37249999999997,22.3,594.38,614.1699999999998,292.83,149.0925,99.8325,1085.5625,6365,0,4,0
119253.2244,2020,발달상권,2120200,학동사거리,36,1,0,0,0,0,1,0,0,1013,568,9363,14,10,50,19,12,6,2,77,1193058,152912,165449,185873,182795,188869,188375,159394,122302,136,0,6,0,4,266597,81691,290551,332279,210554,126127,151856,174.37249999999997,22.3,594.38,614.1699999999998,292.83,149.0925,99.8325,1085.5625,23100,0,4,0
112325.3795,2020,발달상권,2120201,도곡1동,15,1,0,0,0,0,1,0,0,1873,1076,11559,43,31,171,102,88,94,31,0,992319,187080,148062,150231,149039,149346,146715,125334,123589,46,0,6,0,10,169293,144649,159723,198393,183031,129779,176744,174.37249999999997,22.3,594.38,614.1699999999998,292.83,149.0925,99.8325,1085.5625,13036,0,6,0
46952.35714,2020,발달상권,2120202,압구정로데오역(압구정로데오),36,1,0,0,0,0,1,0,0,1880,789,11735,13,0,2,16,0,48,33,457,2301912,287935,328540,356847,347487,358037,361815,306797,242387,146,1,5,2,5,265701,208942,523020,556947,403683,256701,352617,174.37249999999997,22.3,594.38,614.1699999999998,292.83,149.0925,99.8325,1085.5625,29777,9878,3,1
80379.65018,2020,발달상권,2120203,강남구청역,36,1,0,0,0,0,1,0,0,1552,906,7726,24,4,79,84,22,3,6,118,2183923,348693,328479,346337,340935,344905,334184,255341,233744,111,2,7,0,10,173251,226489,421455,525887,422071,253421,334601,174.37249999999997,22.3,594.38,614.1699999999998,292.83,149.0925,99.8325,1085.5625,12574,27841,6,1
118387.1181,2020,발달상권,2120204,르네상스호텔사거리,24,1,0,0,0,0,1,0,0,1580,1096,41471,21,2,242,359,135,129,38,290,1323766,176447,213176,226425,217703,222640,210778,127520,105524,47,7,8,0,3,160960,78308,266097,362094,271201,171186,174879,174.37249999999997,22.3,594.38,614.1699999999998,292.83,149.0925,99.8325,1085.5625,29004,0,3,0
48349.68264,2020,발달상권,2120205,매봉역,25,1,0,0,0,0,1,0,0,1102,573,13950,23,37,59,28,57,39,27,5,563795,87634,86397,89909,87540,89243,86191,63833,60685,33,0,1,0,6,122443,47469,95118,114149,105764,88909,112387,174.37249999999997,22.3,594.38,614.1699999999998,292.83,149.0925,99.8325,1085.5625,284,0,6,0
54611.38901,2020,발달상권,2120206,개나리아파트,30,1,0,0,0,0,1,0,0,4051,2075,5280,50,10,243,135,64,42,55,282,1257192,254866,191306,195485,192925,194336,188623,148994,145521,45,2,4,0,5,148412,169131,208452,274795,251482,156406,196925,174.37249999999997,22.3,594.38,614.1699999999998,292.83,149.0925,99.8325,1085.5625,5603,0,8,0
97307.28034,2020,발달상권,2120207,선정릉역,45,1,0,0,0,0,1,0,0,6835,3858,12151,179,49,777,501,246,96,53,440,1757784,364242,263461,272178,268019,271081,263727,214286,205032,83,5,5,0,3,323475,210726,315715,421555,352215,194319,263253,174.37249999999997,22.3,594.38,614.1699999999998,292.83,149.0925,99.8325,1085.5625,13929,18226,11,1
95087.99275,2020,발달상권,2120208,청담사거리(청담동명품거리),47,1,0,0,0,0,1,0,0,3296,1887,10577,46,0,58,138,241,64,31,204,1585022,280247,224462,241117,239322,244180,244410,209925,181605,148,3,9,0,7,331336,146559,309131,369156,288764,204162,267251,174.37249999999997,22.3,594.38,614.1699999999998,292.83,149.0925,99.8325,1085.5625,39205,0,8,0
87241.53347,2020,발달상권,2120209,"강남구청(청담역_8번, 강남세무서)",22,1,0,0,0,0,1,0,0,1348,629,8984,19,21,30,31,11,43,62,170,637037,100009,94671,98544,96754,98654,96223,80402,71790,79,2,4,0,0,134148,98461,84692,118732,124583,84143,126428,174.37249999999997,22.3,594.38,614.1699999999998,292.83,149.0925,99.8325,1085.5625,3672,0,3,0
128165.4671,2020,발달상권,2120210,선릉역,95,1,0,0,0,0,1,0,0,4534,3089,48780,93,30,745,692,112,101,5,141,4840329,709061,756466,803896,776105,793660,761234,513399,435570,181,1,13,0,15,360433,451935,932754,1212705,965654,627779,649500,174.37249999999997,22.3,594.38,614.1699999999998,292.83,149.0925,99.8325,1085.5625,55664,72845,6,1
88097.50183,2020,발달상권,2120211,도성초등학교,9,1,0,0,0,0,1,0,0,1620,699,984,22,3,68,51,66,38,22,74,870787,116715,125863,127308,128642,128801,125893,122034,112246,31,0,1,0,4,72437,241041,105069,124035,171231,101620,127792,174.37249999999997,22.3,594.38,614.1699999999998,292.83,149.0925,99.8325,1085.5625,2844,0,4,0
38848.39874,2020,발달상권,2120212,한티역,21,1,0,0,0,0,1,0,0,1554,713,713,20,0,54,53,47,14,52,59,1227786,209171,171015,175964,175133,176276,174056,181921,173420,75,1,7,1,6,112734,394515,123560,130945,253791,159227,165747,174.37249999999997,22.3,594.38,614.1699999999998,292.83,149.0925,99.8325,1085.5625,10410,9702,4,1
84302.45152,2020,발달상권,2120213,삼성중앙역,34,1,0,0,0,0,1,0,0,4240,2354,8472,85,29,481,195,75,38,32,266,1807691,356907,274356,287448,280764,283568,274256,209677,197623,51,2,2,0,11,228925,155433,324752,452021,389747,223264,262476,174.37249999999997,22.3,594.38,614.1699999999998,292.83,149.0925,99.8325,1085.5625,2925,7284,3,1
103692.6074,2020,발달상권,2120214,영동대교남단교차로,18,1,0,0,0,0,1,0,0,744,303,3990,7,0,0,16,0,0,0,200,298963,36411,45610,48025,46737,47324,46505,35430,29331,21,0,2,0,1,89135,26793,43056,68952,56659,45985,57517,174.37249999999997,22.3,594.38,614.1699999999998,292.83,149.0925,99.8325,1085.5625,6834,0,1,0
69877.84568,2020,발달상권,2120215,포스코사거리,69,1,0,0,0,0,1,0,0,3112,1894,61656,26,0,291,474,131,195,12,273,3063771,442283,495075,520938,499455,512911,485307,288101,261983,138,1,21,0,17,318625,263345,581905,828660,689115,375967,324780,174.37249999999997,22.3,594.38,614.1699999999998,292.83,149.0925,99.8325,1085.5625,37659,0,7,0
